,ID,Name,Lat,Lng
0,1.0,Eads St & 15th St S,38.858971,-77.05323
1,2.0,18th St & S Eads St,38.857227,-77.05373716666666
2,3.0,Crystal Dr & 20th St S,38.856425,-77.049232
3,4.0,Crystal Dr & 15th St S,38.86017,-77.049593
4,5.0,Aurora Hills Cmty Ctr / 18th St & S Hayes St,38.857866,-77.05949
5,6.0,Pentagon City Metro / 12th St & S Hayes St,38.862303,-77.059936
6,7.0,Army Navy Dr & S Joyce St,38.8637,-77.0633
7,8.0,Crystal City Metro / 18th St & S Bell St,38.857405,-77.051132
8,10.0,Crystal Dr & 27th St S,38.848466,-77.051514
9,11.0,S Glebe Rd & Potomac Ave,38.8426,-77.0502
10,12.0,Crystal Dr & 23rd St S,38.8533,-77.0498
11,13.0,19th St & Pennsylvania Ave NW,38.9003,-77.0429
12,14.0,14th & V St NW,38.9177645,-77.032096
13,15.0,11th & Kenyon St NW,38.929464,-77.027822
14,16.0,16th & Harvard St NW,38.926088,-77.036536
15,17.0,Adams Mill & Columbia Rd NW,38.922925,-77.042581
16,18.0,14th & Harvard St NW,38.9268,-77.0322
17,19.0,Calvert & Biltmore St NW,38.923203,-77.047637
18,20.0,Lamont & Mt Pleasant NW,38.9319,-77.0388
19,21.0,4th & M St SW,38.876702,-77.01789333333333
20,22.0,7th & T St NW,38.9155,-77.0222
21,23.0,20th St & Florida Ave NW,38.9154,-77.0446
22,24.0,Massachusetts Ave & Dupont Circle NW,38.9101,-77.0444
23,25.0,15th & P St NW,38.909868,-77.034421
24,26.0,14th & R St NW,38.913046,-77.032008
25,27.0,14th & Rhode Island Ave NW,38.9086,-77.0323
26,28.0,20th & E St NW,38.8963,-77.045
27,29.0,21st & I St NW,38.90071,-77.046448
28,30.0,19th & E Street NW,38.8952,-77.0436
29,31.0,Georgia Ave and Fairmont St NW,38.9249,-77.0222
30,32.0,M St & New Jersey Ave SE,38.87630733333334,-77.00378233333333
31,33.0,1st & N St  SE,38.8743,-77.0057
32,35.0,Good Hope & Naylor Rd SE,38.860025,-76.96785183333333
33,36.0,Branch & Pennsylvania Ave SE,38.8692,-76.9599
34,37.0,Randle Circle & Minnesota Ave SE,38.878123,-76.9607395
35,38.0,Minnesota Ave Metro/DOES,38.897063,-76.947446
36,39.0,Nannie Helen Burroughs & Minnesota Ave NE,38.901385,-76.941877
37,40.0,Benning Branch Library,38.894,-76.947974
38,41.0,Fairfax Village,38.86559,-76.952103
39,42.0,Benning Rd & East Capitol St NE / Benning Rd Metro,38.889935,-76.93723
40,43.0,Anacostia Ave & Benning Rd NE / River Terrace ,38.896544,-76.96012
41,45.0,Alabama & MLK Ave SE,38.843229,-76.999375
42,46.0,Anacostia Metro,38.862669,-76.994637
43,47.0,Good Hope Rd & MLK Ave SE,38.867373,-76.988039
44,48.0,Good Hope Rd & 14th St SE,38.866603833333336,-76.98531366666667
45,49.0,Anacostia Library,38.865784,-76.9784
46,50.0,Pennsylvania & Minnesota Ave SE,38.873057,-76.971015
47,51.0,Congress Heights Metro,38.844711,-76.987823
48,52.0,Pleasant St & MLK Ave SE,38.863897,-76.990037
49,55.0,4th & W St NE,38.91894333333333,-77.000654
50,56.0,12th & Newton St NE,38.933668,-76.991016
51,57.0,John McCormack Dr & Michigan Ave NE,38.93469933333333,-76.9955265
52,58.0,Florida Ave & R St NW,38.9126,-77.0135
53,59.0,10th & Monroe St NE,38.932514,-76.992889
54,60.0,1st & Rhode Island Ave NW,38.91543866666667,-77.01232566666667
55,61.0,1st & Washington Hospital Center NW,38.928743,-77.012457
56,62.0,5th & K St NW,38.902967,-77.01916116666666
57,63.0,19th & East Capitol St SE,38.8896,-76.9769
58,64.0,Park Rd & Holmead Pl NW,38.9308,-77.0315
59,65.0,1st & M St NE,38.9056505,-77.00543933333333
60,66.0,3rd & H St NW,38.899408,-77.015289
