,BikeID,DockID,Timestamp
0,1876,305.0,1602258278.0
1,2738,413.0,1604136451.0
2,2038,413.0,1603905110.0
3,2335,24.0,1602411782.0
4,2549,452.0,1603197171.0
5,2292,127.0,1603577561.0
6,1845,141.0,1603463523.0
7,1891,187.0,1602793608.0
8,646,340.0,1603213102.0
9,104,482.0,1602170584.0
10,2347,184.0,1601658300.0
11,1672,654.0,1602434578.0
12,5,394.0,1602973919.0
13,2452,642.0,1603178912.0
14,1333,382.0,1603293272.0
15,2737,65.0,1601635869.0
16,956,461.0,1602927121.0
17,6,61.0,1602958985.0
18,1446,179.0,1601578478.0
19,2403,14.0,1602160767.0
20,1865,64.0,1603217022.0
21,2041,124.0,1603280910.0
22,1977,139.0,1603913984.0
23,2853,272.0,1603119136.0
24,730,58.0,1603392085.0
25,352,14.0,1603315087.0
26,239,368.0,1603454678.0
27,3030,462.0,1603211109.0
28,2404,101.0,1602337468.0
29,3,78.0,1603554883.0
30,1110,21.0,1602932658.0
31,2779,413.0,1602338943.0
32,1480,100.0,1602321093.0
33,791,526.0,1603533281.0
34,537,638.0,1603021865.0
35,271,462.0,1603818655.0
36,1232,526.0,1603788380.0
37,1333,526.0,1602575162.0
38,2799,517.0,1604148782.0
39,2033,126.0,1602335930.0
40,877,90.0,1603550603.0
41,2,462.0,1602001131.0
42,341,14.0,1602499933.0
43,1110,526.0,1603180119.0
44,2359,394.0,1602748079.0
45,1028,526.0,1601883882.0
46,581,187.0,1602336425.0
47,3018,78.0,1602230957.0
48,2092,656.0,1602067387.0
49,314,575.0,1601800814.0
50,1773,461.0,1602697985.0
51,2349,17.0,1603347565.0
52,2724,517.0,1603207949.0
53,1674,591.0,1601893351.0
54,1194,647.0,1603556058.0
55,1057,67.0,1603205729.0
56,1229,67.0,1603130375.0
57,109,67.0,1603909465.0
58,1048,67.0,1602257880.0
59,1122,145.0,1604059296.0
60,142,145.0,1603104109.0
61,1332,434.0,1602922089.0
62,2794,69.0,1602004987.0
63,731,168.0,1601634107.0
64,2813,68.0,1603467278.0
65,2047,390.0,1602856562.0
66,1316,579.0,1603141755.0
67,338,60.0,1603451092.0
68,2169,172.0,1603431538.0
69,428,186.0,1602272960.0
70,1974,21.0,1602067989.0
71,320,437.0,1603356588.0
72,395,369.0,1602761716.0
73,1434,125.0,1602796948.0
74,39,305.0,1601732801.0
75,1790,146.0,1603231702.0
76,474,145.0,1602092708.0
77,2694,185.0,1603546557.0
78,2004,585.0,1601656413.0
79,64,177.0,1601552573.0
80,2719,60.0,1603024707.0
81,2731,15.0,1601545314.0
82,837,626.0,1601545059.0
83,2486,298.0,1603394460.0
84,862,130.0,1603910946.0
85,79,398.0,1604171975.0
86,1328,398.0,1601997763.0
87,2461,131.0,1602604906.0
88,1409,185.0,1604146506.0
89,2341,83.0,1601987185.0
90,290,80.0,1604060340.0
91,1961,80.0,1604060257.0
92,2674,666.0,1601706371.0
93,1346,101.0,1603534990.0
94,166,14.0,1603275200.0
95,1015,80.0,1601630413.0
96,2617,80.0,1602671143.0
97,2502,429.0,1603839635.0
98,1123,80.0,1603011923.0
99,1480,22.0,1602001368.0
100,1749,14.0,1604085178.0
101,852,499.0,1601642930.0
102,879,645.0,1602588066.0
103,1416,192.0,1603879255.0
