,Hour,StationEnd,Count,Day,Year,Count1,Count1week
150250,0,17,1,244,2011,0,0
150251,0,28,2,244,2011,0,0
150256,0,6,1,244,2011,0,0
150260,0,1,1,244,2011,0,0
150265,0,19,1,244,2011,0,0
150273,1,17,1,244,2011,1,0
150282,2,14,1,244,2011,0,0
150290,2,19,1,244,2011,0,0
150293,2,17,1,244,2011,1,0
150294,2,1,1,244,2011,0,0
150296,3,16,1,244,2011,0,0
150298,3,4,1,244,2011,0,0
150302,3,26,1,244,2011,0,0
150305,3,18,1,244,2011,0,0
150316,5,4,1,244,2011,0,0
150324,5,14,1,244,2011,0,0
150325,5,25,1,244,2011,0,0
150331,6,28,5,244,2011,0,0
150339,6,13,1,244,2011,0,0
150342,6,20,1,244,2011,0,0
150343,6,17,1,244,2011,0,0
150344,6,22,2,244,2011,0,0
150345,6,34,1,244,2011,0,0
150350,6,1,1,244,2011,0,0
150352,6,16,2,244,2011,0,0
150353,6,25,2,244,2011,1,0
150361,7,6,5,244,2011,0,0
150362,7,4,4,244,2011,0,0
150370,7,22,7,244,2011,2,0
150374,7,26,4,244,2011,0,0
150376,7,25,5,244,2011,2,0
150377,7,19,3,244,2011,0,0
150378,7,17,7,244,2011,1,0
150380,7,28,4,244,2011,5,0
150383,7,21,6,244,2011,0,0
150384,7,14,5,244,2011,0,0
150385,7,18,1,244,2011,0,0
150386,7,23,3,244,2011,0,0
150387,7,34,5,244,2011,1,0
150388,7,1,5,244,2011,1,0
150389,7,16,1,244,2011,2,0
150390,7,12,1,244,2011,0,0
150391,7,11,2,244,2011,0,0
150392,7,13,3,244,2011,1,0
150399,8,17,9,244,2011,7,0
150403,8,18,2,244,2011,1,0
150406,8,22,7,244,2011,7,0
150408,8,23,5,244,2011,3,0
150409,8,12,2,244,2011,1,0
150414,8,25,5,244,2011,5,0
150415,8,4,6,244,2011,4,0
150416,8,26,5,244,2011,4,0
150417,8,34,10,244,2011,5,0
150419,8,1,6,244,2011,5,0
150421,8,14,5,244,2011,5,0
150422,8,21,8,244,2011,6,0
150423,8,28,7,244,2011,4,0
150424,8,6,5,244,2011,5,0
150425,8,11,5,244,2011,2,0
150426,8,20,6,244,2011,0,0
150428,8,19,3,244,2011,3,0
150429,8,24,1,244,2011,0,0
150430,8,16,4,244,2011,1,0
150431,8,15,2,244,2011,0,0
150432,8,13,2,244,2011,3,0
150436,9,13,1,244,2011,2,0
150440,9,1,3,244,2011,6,0
150442,9,11,2,244,2011,5,0
