,Hour,StationEnd,Count,Day,Year,Count1,Count1week
3283,0,1,1,8,2011,1,0
3285,0,25,1,8,2011,0,0
3292,0,6,1,8,2011,0,0
3297,1,34,1,8,2011,0,0
3302,1,13,1,8,2011,0,1
3303,1,1,3,8,2011,1,0
3309,2,1,1,8,2011,3,1
3311,2,18,1,8,2011,0,0
3315,2,13,1,8,2011,1,0
3319,2,25,1,8,2011,0,0
3329,5,14,1,8,2011,0,0
3332,6,17,1,8,2011,0,0
3334,7,14,1,8,2011,0,0
3339,7,22,1,8,2011,0,0
3344,8,28,2,8,2011,0,0
3352,9,21,1,8,2011,0,1
3356,9,14,1,8,2011,0,0
3357,9,18,1,8,2011,0,0
3358,9,13,1,8,2011,0,0
3363,9,11,1,8,2011,0,0
3364,9,4,1,8,2011,0,0
3370,10,22,2,8,2011,0,1
3372,10,18,2,8,2011,1,0
3373,10,28,2,8,2011,0,1
3378,10,17,1,8,2011,0,0
3382,10,6,2,8,2011,0,0
3385,10,1,1,8,2011,0,0
3388,10,4,2,8,2011,1,1
3389,10,34,1,8,2011,0,0
3397,11,23,1,8,2011,0,2
3398,11,16,1,8,2011,0,0
3400,11,14,1,8,2011,0,0
3402,11,4,1,8,2011,2,0
3403,11,26,2,8,2011,0,2
3414,11,13,2,8,2011,0,1
3416,11,17,1,8,2011,1,2
3417,11,34,1,8,2011,1,0
3418,11,22,1,8,2011,2,0
3419,11,28,1,8,2011,2,1
3420,11,1,1,8,2011,1,1
3423,12,22,1,8,2011,1,0
3429,12,14,1,8,2011,1,0
3432,12,17,2,8,2011,1,2
3436,12,28,1,8,2011,1,2
3438,12,11,2,8,2011,0,0
3441,12,6,2,8,2011,0,0
3443,12,34,2,8,2011,1,2
3448,12,20,1,8,2011,0,1
3449,12,26,1,8,2011,2,0
3450,12,23,1,8,2011,1,2
3451,12,13,1,8,2011,2,0
3462,13,12,2,8,2011,0,2
3464,13,6,3,8,2011,2,2
3466,13,24,1,8,2011,0,0
3470,13,4,2,8,2011,0,0
3472,13,14,1,8,2011,1,1
3475,13,21,3,8,2011,0,1
3477,13,1,1,8,2011,0,0
3478,14,34,1,8,2011,0,2
3485,14,25,1,8,2011,0,1
3495,14,21,1,8,2011,3,0
3499,14,19,1,8,2011,0,1
3500,14,23,1,8,2011,0,0
3501,14,17,2,8,2011,0,2
3502,14,4,1,8,2011,2,2
3503,14,26,3,8,2011,0,1
3504,14,22,1,8,2011,0,0
3506,14,6,1,8,2011,3,3
3507,14,13,2,8,2011,0,1
3508,14,16,1,8,2011,0,0
3509,14,1,2,8,2011,1,1
3511,15,4,2,8,2011,1,1
3512,15,11,1,8,2011,0,0
3519,15,13,1,8,2011,2,0
3523,15,23,2,8,2011,1,2
3524,15,19,1,8,2011,1,0
3525,15,26,1,8,2011,3,4
3526,15,28,1,8,2011,0,2
3531,15,6,1,8,2011,1,1
3532,15,14,1,8,2011,0,1
3533,15,1,1,8,2011,2,3
3534,15,20,1,8,2011,0,0
3537,16,28,3,8,2011,1,3
3545,16,34,1,8,2011,0,2
3546,16,14,1,8,2011,1,1
3549,16,19,2,8,2011,1,1
3550,16,22,1,8,2011,0,0
3553,16,4,1,8,2011,2,1
3555,16,23,1,8,2011,2,2
3559,16,16,1,8,2011,0,1
3560,16,26,2,8,2011,1,0
3562,16,25,1,8,2011,0,2
3564,16,21,1,8,2011,0,2
3565,16,17,1,8,2011,0,1
3572,17,22,1,8,2011,1,0
3575,17,20,1,8,2011,0,0
3582,17,6,2,8,2011,0,1
3585,17,28,2,8,2011,3,0
3588,17,21,1,8,2011,1,0
3596,18,18,2,8,2011,0,0
3598,18,6,2,8,2011,2,0
3600,18,14,1,8,2011,0,0
3603,18,1,2,8,2011,0,0
3606,18,24,2,8,2011,0,0
3607,18,26,1,8,2011,0,0
3608,18,25,2,8,2011,0,0
