,Hour,StationEnd,Count,Day,Year,Count1,Count1week
191385,0,18,1,305,2011,0,0
191389,0,34,1,305,2011,0,0
191394,0,28,1,305,2011,0,0
191403,1,28,2,305,2011,1,0
191405,1,17,1,305,2011,0,0
191410,3,21,2,305,2011,0,0
191411,3,12,1,305,2011,0,0
191412,3,25,1,305,2011,0,0
191414,4,17,1,305,2011,0,0
191427,5,21,1,305,2011,0,0
191430,5,1,1,305,2011,0,0
191435,6,25,2,305,2011,0,0
191439,6,34,3,305,2011,0,0
191443,6,28,3,305,2011,0,0
191446,6,12,1,305,2011,0,0
191451,6,1,2,305,2011,1,0
191452,6,18,1,305,2011,0,0
191453,6,14,1,305,2011,0,0
191455,6,4,1,305,2011,0,0
191460,6,17,1,305,2011,0,0
191461,6,26,1,305,2011,0,0
191462,6,6,1,305,2011,0,0
191470,7,17,6,305,2011,1,0
191472,7,6,3,305,2011,1,0
191475,7,1,5,305,2011,2,0
191476,7,26,2,305,2011,1,0
191480,7,22,8,305,2011,0,0
191481,7,34,1,305,2011,3,0
191485,7,18,3,305,2011,1,0
191486,7,28,1,305,2011,3,0
191488,7,21,2,305,2011,0,0
191491,7,16,4,305,2011,0,0
191492,7,4,6,305,2011,1,0
191493,7,19,4,305,2011,0,0
191494,7,20,1,305,2011,0,0
191495,7,15,1,305,2011,0,0
191496,7,23,1,305,2011,0,0
191497,7,25,2,305,2011,2,0
191499,8,4,11,305,2011,6,0
191501,8,20,7,305,2011,1,0
191505,8,34,9,305,2011,1,0
191506,8,11,2,305,2011,0,0
191507,8,21,4,305,2011,2,0
191510,8,16,3,305,2011,4,0
191511,8,18,3,305,2011,3,0
191512,8,17,6,305,2011,6,0
191513,8,25,2,305,2011,2,0
191515,8,13,2,305,2011,0,0
191521,8,28,2,305,2011,1,0
191523,8,22,3,305,2011,8,0
191527,8,26,5,305,2011,2,0
191528,8,1,6,305,2011,5,0
191531,8,12,2,305,2011,0,0
191532,8,19,3,305,2011,4,0
191533,8,14,2,305,2011,0,0
191534,8,6,3,305,2011,3,0
191535,8,23,3,305,2011,1,0
191536,8,15,1,305,2011,1,0
191538,9,16,2,305,2011,3,0
191539,9,25,3,305,2011,2,0
191544,9,21,8,305,2011,4,0
191546,9,28,2,305,2011,2,0
191550,9,14,5,305,2011,2,0
191555,9,23,2,305,2011,3,0
191557,9,6,5,305,2011,3,0
191558,9,13,4,305,2011,2,0
191560,9,18,3,305,2011,3,0
191564,9,1,3,305,2011,6,0
191565,9,4,1,305,2011,11,0
191567,9,22,2,305,2011,3,0
191568,9,17,2,305,2011,6,0
191569,9,11,1,305,2011,2,0
191570,9,20,1,305,2011,7,0
191571,9,34,2,305,2011,9,0
191577,10,18,1,305,2011,3,0
191580,10,24,1,305,2011,0,0
