,BikeID,DockID,Timestamp
0,2523,117.0,1602262557.0
1,1857,185.0,1604137112.0
2,727,531.0,1603905667.0
3,185,141.0,1602413178.0
4,98,185.0,1603198859.0
5,1527,102.0,1603579985.0
6,380,62.0,1603463737.0
7,2657,141.0,1602795813.0
8,2351,340.0,1603214593.0
9,1873,582.0,1602170911.0
10,1181,101.0,1601659288.0
11,2566,152.0,1602435601.0
12,1221,99.0,1602974705.0
13,2181,132.0,1603180736.0
14,1207,153.0,1603293483.0
15,2735,94.0,1601638782.0
16,385,398.0,1602927679.0
17,2291,413.0,1602959987.0
18,2808,518.0,1601579103.0
19,2412,184.0,1602161795.0
20,2018,410.0,1603217550.0
21,615,14.0,1603281616.0
22,146,181.0,1603914369.0
23,865,652.0,1603119393.0
24,1566,462.0,1603392927.0
25,2618,413.0,1603315554.0
26,2685,368.0,1603461975.0
27,1577,526.0,1603211338.0
28,180,413.0,1602337960.0
29,687,526.0,1603555450.0
30,1769,21.0,1602932736.0
31,733,526.0,1602339382.0
32,1871,191.0,1602322268.0
33,293,531.0,1603533687.0
34,892,638.0,1603025869.0
35,595,526.0,1603818634.0
36,2399,462.0,1603788550.0
37,2972,462.0,1602575326.0
38,1877,526.0,1604149472.0
39,599,101.0,1602336390.0
40,1348,517.0,1603551676.0
41,1479,526.0,1602001301.0
42,1757,526.0,1602500308.0
43,1591,462.0,1603180246.0
44,2256,462.0,1602748230.0
45,1436,462.0,1601884044.0
46,238,230.0,1602337020.0
47,2251,399.0,1602232402.0
48,1325,656.0,1602068142.0
49,2621,491.0,1601802855.0
50,2618,517.0,1602705907.0
51,1183,352.0,1603347692.0
52,1026,81.0,1603208293.0
53,455,591.0,1601894691.0
54,75,611.0,1603557160.0
55,1930,192.0,1603205981.0
56,1577,578.0,1603130679.0
57,331,192.0,1603909702.0
58,1107,192.0,1602258118.0
59,2501,596.0,1604060038.0
60,346,596.0,1603104765.0
61,2228,413.0,1602922338.0
62,152,497.0,1602006850.0
63,556,226.0,1601634395.0
64,2556,99.0,1603469999.0
65,2678,177.0,1602857209.0
66,2786,647.0,1603144116.0
67,2032,413.0,1603451529.0
68,402,375.0,1603434071.0
69,183,277.0,1602273664.0
70,1114,21.0,1602068737.0
71,2457,81.0,1603357303.0
72,2807,277.0,1602763044.0
73,1213,413.0,1602797103.0
74,485,452.0,1601732782.0
75,1903,596.0,1603231972.0
76,2406,596.0,1602093467.0
77,1853,120.0,1603547579.0
78,1288,585.0,1601658214.0
79,342,408.0,1601553609.0
80,2110,140.0,1603026111.0
81,2984,178.0,1601546299.0
82,1462,15.0,1601545277.0
83,732,178.0,1603395636.0
84,2057,298.0,1603911851.0
85,2979,81.0,1604172430.0
86,1063,131.0,1601997905.0
87,857,398.0,1602605046.0
88,2739,183.0,1604147492.0
89,1307,57.0,1601988005.0
90,687,14.0,1604061544.0
91,1457,80.0,1604060310.0
92,1901,97.0,1601707504.0
93,2809,58.0,1603535693.0
94,2668,398.0,1603275586.0
95,2975,413.0,1601631169.0
96,849,14.0,1602672380.0
97,2094,430.0,1603840022.0
98,2567,653.0,1603012765.0
99,1283,630.0,1602001441.0
100,158,80.0,1604085893.0
101,68,202.0,1601644046.0
102,144,645.0,1602589856.0
103,2445,67.0,1603879560.0
104,695,276.0,1602692845.0
105,2147,589.0,1601935632.0
106,536,97.0,1602509058.0
107,2063,100.0,1603474359.0
108,2762,382.0,1602867545.0
109,447,24.0,1602584033.0
110,2443,185.0,1603038330.0
111,1531,24.0,1603652196.0
112,860,23.0,1603652732.0
113,1831,26.0,1601737575.0
114,2586,355.0,1602239054.0
115,1199,147.0,1602141159.0
116,926,355.0,1601829759.0
117,323,497.0,1604137021.0
118,2833,497.0,1603273049.0
119,1045,14.0,1601707709.0
120,2458,69.0,1602073235.0
121,2855,497.0,1601708009.0
122,2172,120.0,1603208384.0
123,617,248.0,1601572155.0
124,2693,69.0,1602056368.0
125,1701,120.0,1602003384.0
126,1289,81.0,1603722144.0
127,1754,120.0,1603265528.0
128,135,120.0,1603523170.0
129,1542,680.0,1603198726.0
130,1103,322.0,1601883558.0
131,1064,14.0,1602342154.0
132,991,65.0,1602852928.0
133,488,178.0,1603719733.0
134,251,677.0,1604127307.0
135,1369,81.0,1603732985.0
136,9,158.0,1602603709.0
137,1163,497.0,1601975471.0
138,1499,23.0,1603106480.0
139,820,195.0,1602491894.0
140,20,454.0,1604172996.0
141,2999,195.0,1602956487.0
142,2999,599.0,1602924400.0
143,1201,183.0,1603836042.0
144,1829,322.0,1601821134.0
145,889,144.0,1603024112.0
146,1523,192.0,1602089353.0
147,1004,456.0,1603713656.0
148,1129,456.0,1603353664.0
149,615,170.0,1602550946.0
150,365,644.0,1603196476.0
151,2723,272.0,1602609551.0
152,1856,358.0,1603728923.0
153,566,653.0,1603522825.0
154,690,136.0,1603871815.0
155,2729,644.0,1602778687.0
156,1528,456.0,1602779234.0
157,2966,123.0,1602607602.0
158,2169,456.0,1603466150.0
159,615,644.0,1603180603.0
160,348,272.0,1602407599.0
161,138,456.0,1602011343.0
162,1111,156.0,1601808886.0
163,749,1.0,1602101478.0
164,1021,108.0,1602784078.0
165,1928,443.0,1603026972.0
166,1527,78.0,1603629081.0
167,2605,456.0,1601743894.0
168,1493,525.0,1604165501.0
169,1166,591.0,1602324939.0
