,BikeID,DockID,Timestamp
0,2523,305.0,1602258278.0
1,1857,413.0,1604136451.0
2,727,413.0,1603905110.0
3,185,24.0,1602411782.0
4,98,452.0,1603197171.0
5,1527,127.0,1603577561.0
6,380,141.0,1603463523.0
7,2657,187.0,1602793608.0
8,2351,340.0,1603213102.0
9,1873,482.0,1602170584.0
10,1181,184.0,1601658300.0
11,2566,654.0,1602434578.0
12,1221,394.0,1602973919.0
13,2181,642.0,1603178912.0
14,1207,382.0,1603293272.0
15,2735,65.0,1601635869.0
16,385,461.0,1602927121.0
17,2291,61.0,1602958985.0
18,2808,179.0,1601578478.0
19,2412,14.0,1602160767.0
20,2018,64.0,1603217022.0
21,615,124.0,1603280910.0
22,146,139.0,1603913984.0
23,865,272.0,1603119136.0
24,1566,58.0,1603392085.0
25,2618,14.0,1603315087.0
26,2685,368.0,1603454678.0
27,1577,462.0,1603211109.0
28,180,101.0,1602337468.0
29,687,78.0,1603554883.0
30,1769,21.0,1602932658.0
31,733,413.0,1602338943.0
32,1871,100.0,1602321093.0
33,293,526.0,1603533281.0
34,892,638.0,1603021865.0
35,595,462.0,1603818655.0
36,2399,526.0,1603788380.0
37,2972,526.0,1602575162.0
38,1877,517.0,1604148782.0
39,599,126.0,1602335930.0
40,1348,90.0,1603550603.0
41,1479,462.0,1602001131.0
42,1757,14.0,1602499933.0
43,1591,526.0,1603180119.0
44,2256,394.0,1602748079.0
45,1436,526.0,1601883882.0
46,238,187.0,1602336425.0
47,2251,78.0,1602230957.0
48,1325,656.0,1602067387.0
49,2621,575.0,1601800814.0
50,2618,461.0,1602697985.0
51,1183,17.0,1603347565.0
52,1026,517.0,1603207949.0
53,455,591.0,1601893351.0
54,75,647.0,1603556058.0
55,1930,67.0,1603205729.0
56,1577,67.0,1603130375.0
57,331,67.0,1603909465.0
58,1107,67.0,1602257880.0
59,2501,145.0,1604059296.0
60,346,145.0,1603104109.0
61,2228,434.0,1602922089.0
62,152,69.0,1602004987.0
63,556,168.0,1601634107.0
64,2556,68.0,1603467278.0
65,2678,390.0,1602856562.0
66,2786,579.0,1603141755.0
67,2032,60.0,1603451092.0
68,402,172.0,1603431538.0
69,183,186.0,1602272960.0
