,Hour,StationEnd,Count,Day,Year,Count1,Count1week,Count2week,Count3week,Count4week,Holiday,Weekday,Workingday,WeatherSituation,Temp,ATemp,Humidity,Windspeed
0,14,2,7,60,2011,3,2,6,4,1,0.0,2.0,1.0,1.0,0.32,0.3333,0.36,0.1343
1,14,39,2,60,2011,2,0,4,8,1,0.0,2.0,1.0,1.0,0.32,0.3333,0.36,0.1343
2,14,9,1,60,2011,0,13,4,2,0,0.0,2.0,1.0,1.0,0.32,0.3333,0.36,0.1343
3,15,9,2,60,2011,1,6,2,3,1,0.0,2.0,1.0,1.0,0.34,0.3636,0.34,0.0
4,15,2,4,60,2011,7,2,1,1,1,0.0,2.0,1.0,1.0,0.34,0.3636,0.34,0.0
5,15,39,2,60,2011,2,18,1,5,2,0.0,2.0,1.0,1.0,0.34,0.3636,0.34,0.0
6,16,39,6,60,2011,2,3,1,2,1,0.0,2.0,1.0,1.0,0.34,0.3485,0.34,0.0896
7,16,9,2,60,2011,2,5,2,1,4,0.0,2.0,1.0,1.0,0.34,0.3485,0.34,0.0896
8,16,27,1,60,2011,0,10,5,2,0,0.0,2.0,1.0,1.0,0.34,0.3485,0.34,0.0896
9,16,2,7,60,2011,4,7,4,5,1,0.0,2.0,1.0,1.0,0.34,0.3485,0.34,0.0896
10,17,9,3,60,2011,2,6,1,2,0,0.0,2.0,1.0,1.0,0.34,0.3485,0.34,0.0896
11,17,27,5,60,2011,1,4,2,3,1,0.0,2.0,1.0,1.0,0.34,0.3485,0.34,0.0896
12,17,39,9,60,2011,6,0,3,4,0,0.0,2.0,1.0,1.0,0.34,0.3485,0.34,0.0896
13,17,2,13,60,2011,7,2,3,1,1,0.0,2.0,1.0,1.0,0.34,0.3485,0.34,0.0896
14,18,2,23,60,2011,13,1,0,2,3,0.0,2.0,1.0,1.0,0.32,0.3182,0.39,0.194
15,18,27,6,60,2011,5,3,3,0,3,0.0,2.0,1.0,1.0,0.32,0.3182,0.39,0.194
16,18,39,11,60,2011,9,2,8,0,1,0.0,2.0,1.0,1.0,0.32,0.3182,0.39,0.194
17,18,9,5,60,2011,3,1,2,1,0,0.0,2.0,1.0,1.0,0.32,0.3182,0.39,0.194
18,19,39,7,60,2011,11,1,2,2,2,0.0,2.0,1.0,1.0,0.3,0.303,0.49,0.1343
19,19,27,4,60,2011,6,1,3,3,2,0.0,2.0,1.0,1.0,0.3,0.303,0.49,0.1343
20,19,2,10,60,2011,23,0,1,0,0,0.0,2.0,1.0,1.0,0.3,0.303,0.49,0.1343
