,Hour,StationEnd,Count,Day,Year,Count1,Count1week,Count2week,Count3week,Count4week,Holiday,Weekday,Workingday,WeatherSituation,Temp,ATemp,Humidity,Windspeed
0,19,15,1,68,2011,0,2,0,1,1,0.0,3.0,1.0,2.0,0.34,0.303,0.76,0.3284
1,20,18,1,68,2011,2,1,0,0,0,0.0,3.0,1.0,2.0,0.32,0.3182,0.87,0.194
2,21,26,1,68,2011,0,0,0,1,0,0.0,3.0,1.0,2.0,0.32,0.303,0.93,0.3284
3,8,18,1,69,2011,0,0,0,3,1,0.0,4.0,1.0,3.0,0.38,0.3939,0.0,0.2836
4,8,24,1,69,2011,0,0,0,4,2,0.0,4.0,1.0,3.0,0.38,0.3939,0.0,0.2836
5,13,24,1,69,2011,0,1,0,0,0,0.0,4.0,1.0,3.0,0.42,0.4242,0.0,0.2239
6,17,18,1,69,2011,0,1,0,3,0,0.0,4.0,1.0,2.0,0.44,0.4394,0.0,0.3881
7,18,26,3,69,2011,0,0,0,0,1,0.0,4.0,1.0,3.0,0.44,0.4394,0.0,0.3582
8,20,26,1,69,2011,0,0,0,0,1,0.0,4.0,1.0,3.0,0.36,0.3333,0.0,0.3284
9,20,18,1,69,2011,0,0,0,0,4,0.0,4.0,1.0,3.0,0.36,0.3333,0.0,0.3284
10,21,26,1,69,2011,1,0,0,0,0,0.0,4.0,1.0,3.0,0.36,0.3485,0.0,0.2239
11,22,26,1,69,2011,1,0,0,0,0,0.0,4.0,1.0,2.0,0.34,0.3333,0.0,0.1343
12,23,26,1,69,2011,1,0,1,0,0,0.0,4.0,1.0,3.0,0.34,0.3485,0.0,0.0896
13,0,26,2,70,2011,1,2,2,0,0,0.0,5.0,1.0,2.0,0.34,0.3485,1.0,0.0896
14,7,24,1,70,2011,0,1,2,1,0,0.0,5.0,1.0,1.0,0.26,0.2576,0.7,0.194
15,8,24,1,70,2011,1,1,1,0,0,0.0,5.0,1.0,1.0,0.28,0.2727,0.7,0.2537
16,8,18,3,70,2011,0,0,0,0,0,0.0,5.0,1.0,1.0,0.28,0.2727,0.7,0.2537
17,8,26,1,70,2011,0,0,0,1,1,0.0,5.0,1.0,1.0,0.28,0.2727,0.7,0.2537
18,9,15,1,70,2011,0,0,0,0,0,0.0,5.0,1.0,2.0,0.3,0.2879,0.61,0.2836
19,9,26,1,70,2011,1,0,0,0,0,0.0,5.0,1.0,2.0,0.3,0.2879,0.61,0.2836
20,10,18,1,70,2011,0,0,1,0,0,0.0,5.0,1.0,2.0,0.32,0.303,0.57,0.2985
21,11,24,1,70,2011,0,0,0,0,0,0.0,5.0,1.0,2.0,0.32,0.303,0.57,0.2985
22,12,26,1,70,2011,0,0,1,0,0,0.0,5.0,1.0,2.0,0.34,0.3182,0.53,0.2537
