,Hour,StationEnd,Count,Day,Year,Count1,Count1week,Count2week,Count3week,Count4week
32474,17,16,1,67,2011,1,0,0,1,0
32486,17,26,1,67,2011,0,0,0,0,1
32509,18,26,5,67,2011,1,5,0,0,0
32512,18,15,2,67,2011,0,1,2,0,0
32519,18,16,1,67,2011,1,2,3,2,0
32522,19,26,1,67,2011,5,2,1,3,1
32546,19,16,2,67,2011,1,1,1,4,2
32608,21,26,1,67,2011,0,3,2,0,0
32610,22,16,1,67,2011,0,1,0,2,1
32617,22,26,2,67,2011,1,1,0,3,0
32704,7,26,1,68,2011,0,2,0,0,1
32727,7,16,1,68,2011,0,0,0,0,0
32732,7,11,1,68,2011,0,0,1,0,0
32745,8,16,1,68,2011,1,1,0,0,1
32759,8,11,2,68,2011,1,2,0,1,4
32766,8,26,1,68,2011,1,0,0,1,0
32795,9,26,1,68,2011,1,2,2,0,1
32818,10,16,2,68,2011,0,1,0,0,0
32861,12,16,1,68,2011,0,0,1,1,1
32870,12,26,1,68,2011,0,0,0,1,1
32875,12,11,1,68,2011,0,0,0,0,0
32894,13,16,1,68,2011,1,0,0,0,0
32898,13,26,1,68,2011,1,0,0,0,1
32909,13,15,1,68,2011,0,2,0,0,0
32929,14,16,1,68,2011,1,0,0,1,0
32936,14,26,1,68,2011,1,0,0,0,0
32941,15,15,1,68,2011,0,0,2,0,0
32964,15,11,1,68,2011,0,0,0,0,0
32966,15,26,1,68,2011,1,1,0,0,0
32990,16,26,1,68,2011,1,0,0,1,0
32998,16,11,1,68,2011,1,0,0,2,0
33004,17,26,3,68,2011,1,1,0,2,0
33013,17,15,1,68,2011,0,0,0,0,0
33029,17,16,1,68,2011,0,1,0,1,0
33062,18,16,2,68,2011,1,1,0,1,0
33066,18,11,1,68,2011,0,2,0,0,0
33086,19,26,3,68,2011,0,0,0,0,0
33093,19,11,2,68,2011,1,0,0,0,0
33104,19,15,1,68,2011,0,0,1,0,0
33134,21,26,1,68,2011,0,0,0,0,0
33143,21,11,1,68,2011,0,1,2,0,1
33215,7,16,1,69,2011,0,1,0,0,0
33241,8,16,1,69,2011,1,0,1,0,1
33373,17,16,2,69,2011,0,0,0,0,0
33389,18,26,3,69,2011,0,0,0,0,0
33402,18,11,1,69,2011,0,0,2,2,0
33424,20,26,1,69,2011,0,0,1,0,0
33447,21,26,1,69,2011,1,0,0,1,0
33470,22,26,1,69,2011,1,0,1,0,0
33487,23,11,1,69,2011,0,0,2,0,0
33499,23,26,1,69,2011,1,0,1,1,0
33501,23,16,1,69,2011,0,2,0,0,0
33503,0,26,2,70,2011,1,0,1,0,1
33540,6,11,1,70,2011,0,1,1,1,0
33575,7,11,1,70,2011,1,1,2,1,0
