,Hour,StationEnd,Count,Day,Year,Count1,Count1week,Count2week,Count3week,Count4week,Holiday,Weekday,Workingday,WeatherSituation,Temp,ATemp,Humidity,Windspeed
0,23,29,2,59,2011,2,5,3,0,0,0.0,1.0,1.0,2.0,0.32,0.2879,0.81,0.3881
1,23,3,2,59,2011,3,7,2,6,0,0.0,1.0,1.0,2.0,0.32,0.2879,0.81,0.3881
2,23,10,1,59,2011,5,3,5,0,1,0.0,1.0,1.0,2.0,0.32,0.2879,0.81,0.3881
3,1,29,1,60,2011,0,3,3,0,1,0.0,2.0,1.0,1.0,0.26,0.2273,0.7,0.3582
4,3,10,1,60,2011,0,4,2,4,2,0.0,2.0,1.0,1.0,0.22,0.2121,0.69,0.2836
5,5,29,1,60,2011,0,3,5,1,0,0.0,2.0,1.0,1.0,0.2,0.1818,0.64,0.2836
6,6,40,2,60,2011,0,8,3,5,5,0.0,2.0,1.0,1.0,0.2,0.1818,0.59,0.2985
7,6,29,4,60,2011,1,2,3,3,0,0.0,2.0,1.0,1.0,0.2,0.1818,0.59,0.2985
8,6,10,2,60,2011,0,5,2,5,1,0.0,2.0,1.0,1.0,0.2,0.1818,0.59,0.2985
9,7,29,8,60,2011,4,6,1,4,0,0.0,2.0,1.0,1.0,0.2,0.1818,0.59,0.3284
10,7,10,3,60,2011,2,5,3,2,0,0.0,2.0,1.0,1.0,0.2,0.1818,0.59,0.3284
11,7,40,2,60,2011,2,4,0,6,0,0.0,2.0,1.0,1.0,0.2,0.1818,0.59,0.3284
12,7,3,6,60,2011,0,3,3,8,0,0.0,2.0,1.0,1.0,0.2,0.1818,0.59,0.3284
13,8,29,11,60,2011,8,7,0,6,1,0.0,2.0,1.0,1.0,0.2,0.1818,0.59,0.3881
14,8,3,11,60,2011,6,4,4,3,0,0.0,2.0,1.0,1.0,0.2,0.1818,0.59,0.3881
15,8,40,9,60,2011,2,11,0,5,0,0.0,2.0,1.0,1.0,0.2,0.1818,0.59,0.3881
16,8,10,9,60,2011,3,11,1,6,0,0.0,2.0,1.0,1.0,0.2,0.1818,0.59,0.3881
17,9,29,11,60,2011,11,11,2,5,1,0.0,2.0,1.0,1.0,0.22,0.197,0.55,0.4179
18,9,3,5,60,2011,11,3,0,6,0,0.0,2.0,1.0,1.0,0.22,0.197,0.55,0.4179
19,9,40,9,60,2011,9,9,2,1,3,0.0,2.0,1.0,1.0,0.22,0.197,0.55,0.4179
20,9,10,4,60,2011,9,5,0,5,2,0.0,2.0,1.0,1.0,0.22,0.197,0.55,0.4179
21,10,40,3,60,2011,9,4,2,3,1,0.0,2.0,1.0,1.0,0.24,0.2121,0.52,0.2836
22,10,29,5,60,2011,11,12,0,5,0,0.0,2.0,1.0,1.0,0.24,0.2121,0.52,0.2836
23,10,3,4,60,2011,5,1,3,8,3,0.0,2.0,1.0,1.0,0.24,0.2121,0.52,0.2836
24,11,40,1,60,2011,3,9,0,5,2,0.0,2.0,1.0,1.0,0.28,0.2727,0.45,0.2537
25,11,29,1,60,2011,5,1,2,2,3,0.0,2.0,1.0,1.0,0.28,0.2727,0.45,0.2537
26,11,10,2,60,2011,0,1,1,7,2,0.0,2.0,1.0,1.0,0.28,0.2727,0.45,0.2537
27,12,3,4,60,2011,0,6,2,3,2,0.0,2.0,1.0,1.0,0.3,0.303,0.39,0.1343
28,12,10,2,60,2011,2,2,6,5,5,0.0,2.0,1.0,1.0,0.3,0.303,0.39,0.1343
29,12,29,3,60,2011,1,0,4,4,4,0.0,2.0,1.0,1.0,0.3,0.303,0.39,0.1343
30,12,40,1,60,2011,1,0,10,3,6,0.0,2.0,1.0,1.0,0.3,0.303,0.39,0.1343
31,13,10,4,60,2011,2,2,19,4,4,0.0,2.0,1.0,1.0,0.32,0.3485,0.39,0.0
32,13,40,6,60,2011,1,2,8,3,5,0.0,2.0,1.0,1.0,0.32,0.3485,0.39,0.0
33,13,29,5,60,2011,3,1,8,7,3,0.0,2.0,1.0,1.0,0.32,0.3485,0.39,0.0
34,13,3,1,60,2011,4,2,4,6,7,0.0,2.0,1.0,1.0,0.32,0.3485,0.39,0.0
35,14,29,4,60,2011,5,3,5,7,4,0.0,2.0,1.0,1.0,0.32,0.3333,0.36,0.1343
36,14,10,2,60,2011,4,3,7,9,3,0.0,2.0,1.0,1.0,0.32,0.3333,0.36,0.1343
37,14,40,3,60,2011,6,8,4,0,4,0.0,2.0,1.0,1.0,0.32,0.3333,0.36,0.1343
38,14,3,3,60,2011,1,9,5,4,4,0.0,2.0,1.0,1.0,0.32,0.3333,0.36,0.1343
39,15,40,1,60,2011,3,8,1,1,5,0.0,2.0,1.0,1.0,0.34,0.3636,0.34,0.0
40,15,10,3,60,2011,2,5,1,2,8,0.0,2.0,1.0,1.0,0.34,0.3636,0.34,0.0
41,15,3,2,60,2011,3,2,4,2,3,0.0,2.0,1.0,1.0,0.34,0.3636,0.34,0.0
42,15,29,5,60,2011,4,6,1,3,3,0.0,2.0,1.0,1.0,0.34,0.3636,0.34,0.0
43,16,29,5,60,2011,5,7,0,0,4,0.0,2.0,1.0,1.0,0.34,0.3485,0.34,0.0896
44,16,40,4,60,2011,1,2,1,2,4,0.0,2.0,1.0,1.0,0.34,0.3485,0.34,0.0896
45,16,10,6,60,2011,3,1,0,3,4,0.0,2.0,1.0,1.0,0.34,0.3485,0.34,0.0896
46,16,3,4,60,2011,2,1,2,2,3,0.0,2.0,1.0,1.0,0.34,0.3485,0.34,0.0896
47,17,40,18,60,2011,4,3,3,1,2,0.0,2.0,1.0,1.0,0.34,0.3485,0.34,0.0896
48,17,10,12,60,2011,6,4,4,2,2,0.0,2.0,1.0,1.0,0.34,0.3485,0.34,0.0896
49,17,29,8,60,2011,5,2,1,1,5,0.0,2.0,1.0,1.0,0.34,0.3485,0.34,0.0896
50,17,3,9,60,2011,4,2,3,1,2,0.0,2.0,1.0,1.0,0.34,0.3485,0.34,0.0896
51,18,29,19,60,2011,8,2,0,0,1,0.0,2.0,1.0,1.0,0.32,0.3182,0.39,0.194
52,18,40,9,60,2011,18,1,2,1,0,0.0,2.0,1.0,1.0,0.32,0.3182,0.39,0.194
53,18,3,10,60,2011,9,2,2,0,2,0.0,2.0,1.0,1.0,0.32,0.3182,0.39,0.194
54,18,10,4,60,2011,12,2,2,0,3,0.0,2.0,1.0,1.0,0.32,0.3182,0.39,0.194
55,19,29,13,60,2011,19,6,4,0,2,0.0,2.0,1.0,1.0,0.3,0.303,0.49,0.1343
56,19,40,7,60,2011,9,4,8,1,1,0.0,2.0,1.0,1.0,0.3,0.303,0.49,0.1343
57,19,10,5,60,2011,4,2,4,2,2,0.0,2.0,1.0,1.0,0.3,0.303,0.49,0.1343
58,19,3,3,60,2011,10,2,3,0,2,0.0,2.0,1.0,1.0,0.3,0.303,0.49,0.1343
59,20,40,3,60,2011,7,5,1,0,2,0.0,2.0,1.0,1.0,0.3,0.3182,0.61,0.0896
60,20,3,5,60,2011,3,6,2,0,3,0.0,2.0,1.0,1.0,0.3,0.3182,0.61,0.0896
61,20,29,5,60,2011,13,4,2,0,0,0.0,2.0,1.0,1.0,0.3,0.3182,0.61,0.0896
62,20,10,4,60,2011,5,4,4,1,1,0.0,2.0,1.0,1.0,0.3,0.3182,0.61,0.0896
63,21,29,7,60,2011,5,1,9,0,5,0.0,2.0,1.0,1.0,0.26,0.303,0.56,0.0
64,21,3,4,60,2011,5,5,0,1,2,0.0,2.0,1.0,1.0,0.26,0.303,0.56,0.0
65,21,40,4,60,2011,3,3,1,0,4,0.0,2.0,1.0,1.0,0.26,0.303,0.56,0.0
66,21,10,1,60,2011,4,2,6,0,1,0.0,2.0,1.0,1.0,0.26,0.303,0.56,0.0
67,22,29,2,60,2011,7,2,8,1,0,0.0,2.0,1.0,1.0,0.24,0.2727,0.62,0.1045
68,22,3,1,60,2011,4,3,6,2,0,0.0,2.0,1.0,1.0,0.24,0.2727,0.62,0.1045
69,22,10,3,60,2011,1,5,4,1,0,0.0,2.0,1.0,1.0,0.24,0.2727,0.62,0.1045
70,23,29,1,60,2011,2,9,4,2,1,0.0,2.0,1.0,1.0,0.24,0.2273,0.65,0.2239
71,23,10,2,60,2011,3,18,12,5,3,0.0,2.0,1.0,1.0,0.24,0.2273,0.65,0.2239
72,23,40,1,60,2011,0,9,3,1,1,0.0,2.0,1.0,1.0,0.24,0.2273,0.65,0.2239
73,0,40,1,61,2011,1,9,3,1,0,0.0,3.0,1.0,1.0,0.22,0.2273,0.69,0.1642
74,6,29,6,61,2011,0,4,5,2,0,0.0,3.0,1.0,1.0,0.22,0.2121,0.55,0.2537
75,6,3,3,61,2011,0,21,1,2,1,0.0,3.0,1.0,1.0,0.22,0.2121,0.55,0.2537
76,7,40,6,61,2011,0,8,2,3,0,0.0,3.0,1.0,1.0,0.22,0.2121,0.64,0.2537
77,7,29,8,61,2011,6,9,6,1,0,0.0,3.0,1.0,1.0,0.22,0.2121,0.64,0.2537
78,7,3,4,61,2011,3,8,4,1,1,0.0,3.0,1.0,1.0,0.22,0.2121,0.64,0.2537
79,7,10,4,61,2011,0,4,3,1,1,0.0,3.0,1.0,1.0,0.22,0.2121,0.64,0.2537
80,8,3,11,61,2011,4,8,0,2,0,0.0,3.0,1.0,1.0,0.24,0.2121,0.65,0.2836
81,8,10,9,61,2011,4,9,1,2,0,0.0,3.0,1.0,1.0,0.24,0.2121,0.65,0.2836
82,8,29,10,61,2011,8,6,4,6,0,0.0,3.0,1.0,1.0,0.24,0.2121,0.65,0.2836
83,8,40,13,61,2011,6,8,1,1,0,0.0,3.0,1.0,1.0,0.24,0.2121,0.65,0.2836
84,9,40,5,61,2011,13,4,0,6,0,0.0,3.0,1.0,1.0,0.28,0.2576,0.56,0.2985
