,Hour,StationEnd,Count,Day,Year,Count1,Count1week,Count2week,Count3week,Count4week,Holiday,Weekday,Workingday,WeatherSituation,Temp,ATemp,Humidity,Windspeed
0,17,20,3,66,2011,2,0,0,1,0,0.0,1.0,1.0,1.0,0.34,0.303,0.29,0.3582
1,17,13,3,66,2011,0,2,0,1,0,0.0,1.0,1.0,1.0,0.34,0.303,0.29,0.3582
2,17,22,2,66,2011,3,2,1,0,1,0.0,1.0,1.0,1.0,0.34,0.303,0.29,0.3582
3,17,25,1,66,2011,0,0,2,3,0,0.0,1.0,1.0,1.0,0.34,0.303,0.29,0.3582
4,18,13,3,66,2011,3,2,1,2,1,0.0,1.0,1.0,1.0,0.32,0.303,0.31,0.2239
5,18,22,4,66,2011,2,2,1,2,1,0.0,1.0,1.0,1.0,0.32,0.303,0.31,0.2239
6,18,20,4,66,2011,3,3,3,1,1,0.0,1.0,1.0,1.0,0.32,0.303,0.31,0.2239
7,18,25,2,66,2011,1,0,2,0,0,0.0,1.0,1.0,1.0,0.32,0.303,0.31,0.2239
8,19,25,2,66,2011,2,3,2,1,0,0.0,1.0,1.0,1.0,0.3,0.2879,0.33,0.2239
9,19,22,2,66,2011,4,1,0,0,2,0.0,1.0,1.0,1.0,0.3,0.2879,0.33,0.2239
10,19,20,1,66,2011,4,0,1,1,1,0.0,1.0,1.0,1.0,0.3,0.2879,0.33,0.2239
11,20,25,3,66,2011,2,1,0,0,0,0.0,1.0,1.0,1.0,0.3,0.303,0.33,0.1642
12,21,20,2,66,2011,0,1,1,0,0,0.0,1.0,1.0,1.0,0.28,0.2727,0.38,0.2239
13,22,22,1,66,2011,0,0,0,0,0,0.0,1.0,1.0,1.0,0.26,0.2576,0.48,0.1642
14,23,25,1,66,2011,0,0,1,2,0,0.0,1.0,1.0,1.0,0.28,0.3182,0.48,0.0
15,0,22,1,67,2011,0,0,1,1,0,0.0,2.0,1.0,1.0,0.26,0.2879,0.48,0.0896
16,1,22,1,67,2011,1,0,1,3,2,0.0,2.0,1.0,1.0,0.24,0.2424,0.52,0.1343
17,3,25,1,67,2011,0,0,0,0,0,0.0,2.0,1.0,1.0,0.24,0.2576,0.52,0.0896
18,6,22,1,67,2011,0,0,1,0,0,0.0,2.0,1.0,1.0,0.2,0.2576,0.59,0.0
19,7,20,1,67,2011,0,0,0,1,0,0.0,2.0,1.0,1.0,0.18,0.197,0.64,0.1343
20,7,13,1,67,2011,0,0,0,3,0,0.0,2.0,1.0,1.0,0.18,0.197,0.64,0.1343
21,8,13,3,67,2011,1,0,0,1,0,0.0,2.0,1.0,1.0,0.22,0.2273,0.55,0.194
22,8,25,1,67,2011,0,0,1,1,1,0.0,2.0,1.0,1.0,0.22,0.2273,0.55,0.194
23,8,22,4,67,2011,0,0,0,2,0,0.0,2.0,1.0,1.0,0.22,0.2273,0.55,0.194
24,9,22,2,67,2011,4,0,2,0,0,0.0,2.0,1.0,1.0,0.26,0.2576,0.41,0.1642
25,9,25,1,67,2011,1,0,1,1,0,0.0,2.0,1.0,1.0,0.26,0.2576,0.41,0.1642
26,9,13,2,67,2011,3,0,0,0,0,0.0,2.0,1.0,1.0,0.26,0.2576,0.41,0.1642
