,Hour,StationEnd,Count,Day,Year,Count1,Count1week,Count2week,Count3week,Count4week
31989,19,34,2,66,2011,2,0,0,0,0
32005,19,4,1,66,2011,1,0,0,1,0
32009,19,18,2,66,2011,0,2,0,3,0
32033,20,34,1,66,2011,2,2,1,0,0
32035,20,4,1,66,2011,1,1,0,3,0
32042,21,18,1,66,2011,0,1,0,1,1
32053,21,4,2,66,2011,1,2,1,0,0
32059,21,34,1,66,2011,1,3,4,0,0
32165,7,18,1,67,2011,0,6,1,3,0
32169,7,13,1,67,2011,0,1,0,0,0
32171,7,34,2,67,2011,0,0,1,1,2
32174,7,4,1,67,2011,0,2,0,1,2
32183,8,13,3,67,2011,1,1,0,0,0
32187,8,18,1,67,2011,1,1,1,1,2
32200,8,4,2,67,2011,1,2,0,0,1
32209,8,34,1,67,2011,2,4,0,2,0
32223,9,34,4,67,2011,1,1,0,0,0
32241,9,18,2,67,2011,1,3,0,1,2
32242,9,13,2,67,2011,3,3,0,0,0
32259,10,34,2,67,2011,4,1,0,0,1
32268,10,4,1,67,2011,0,1,0,0,0
32289,11,4,1,67,2011,1,0,0,0,0
32294,11,18,1,67,2011,0,0,1,1,0
32323,12,34,3,67,2011,0,1,0,0,0
32330,12,4,1,67,2011,1,1,0,0,2
32345,13,34,4,67,2011,3,1,1,0,0
32375,14,13,1,67,2011,0,1,0,1,0
32398,15,4,2,67,2011,0,1,3,2,1
32399,15,13,1,67,2011,1,3,0,0,0
32421,16,4,4,67,2011,2,1,1,1,0
32434,16,34,3,67,2011,0,4,0,1,0
32457,17,34,3,67,2011,3,2,2,1,0
32467,17,13,2,67,2011,0,0,0,0,0
32470,17,4,3,67,2011,4,0,1,2,0
32478,17,18,3,67,2011,0,1,2,0,0
32514,18,34,2,67,2011,3,2,4,0,1
32516,18,13,2,67,2011,2,0,1,1,2
32532,19,34,2,67,2011,2,2,2,0,1
32542,19,18,2,67,2011,0,0,3,1,0
32548,19,4,6,67,2011,0,0,1,0,1
32550,19,13,1,67,2011,2,0,0,0,1
32563,20,18,1,67,2011,2,1,0,2,0
32586,21,34,3,67,2011,0,0,0,1,1
32632,22,34,1,67,2011,3,1,1,2,0
32640,23,13,1,67,2011,0,0,3,1,0
32661,0,34,1,68,2011,0,0,1,3,3
32697,6,18,1,68,2011,0,2,1,0,0
32724,7,34,2,68,2011,0,1,0,4,1
32728,7,18,2,68,2011,1,0,1,3,0
32729,7,4,1,68,2011,0,1,1,2,1
32730,7,13,1,68,2011,0,0,0,2,0
32756,8,34,2,68,2011,2,2,0,0,2
32763,8,13,2,68,2011,1,0,1,2,0
32764,8,4,1,68,2011,1,0,0,4,0
32782,9,13,1,68,2011,2,1,0,0,1
32783,9,4,1,68,2011,1,0,0,2,1
32841,11,18,1,68,2011,0,1,0,0,0
32842,11,4,1,68,2011,0,0,0,0,0
32847,11,34,1,68,2011,0,0,0,1,0
32873,12,34,2,68,2011,1,0,0,0,0
32874,12,4,1,68,2011,1,0,0,0,0
32905,13,18,1,68,2011,0,0,0,1,0
32910,13,34,1,68,2011,2,0,0,0,0
32925,14,13,1,68,2011,0,0,0,0,0
32930,14,4,1,68,2011,0,0,0,0,0
32956,15,13,1,68,2011,1,0,0,4,2
32958,15,4,2,68,2011,1,0,0,3,3
32965,15,18,1,68,2011,0,0,0,1,2
